t,a,o2,r,d,_
-1,,"[ 1.25237979e+00 -3.91980953e-03 -1.47644739e-03 -4.23791819e-03
  3.47939883e-04  2.48320258e-03  3.71588215e-03 -3.47171698e-03
 -1.03476254e-03  4.70034634e-03 -3.15141561e-03  3.85223925e-03
 -3.57853106e-03 -4.95492091e-03 -4.89858822e-04  4.60165409e-03
  6.80787685e-04]",,,
0,[-0.32570738  0.47595713 -0.7839619  -0.2952895  -0.84758365  0.06958798],"[ 1.25266315e+00 -1.55444833e-02 -2.10477379e-02  1.18323330e-02
 -5.19775802e-02 -2.40811471e-03 -1.43110835e-02  6.70197683e-03
 -4.22885990e-01  6.35031348e-02 -2.54822998e+00 -3.41382557e+00
  1.91262010e+00 -1.00000000e+01 -5.36474901e-01 -4.87429088e+00
  2.50284669e+00]",0.816956456621315,False,"{'x_position': -0.0030788239609516573, 'x_velocity': -0.18128589014229585}"
1,[ 0.4966405   0.74317646 -0.6943434  -0.20695251  0.94006926 -0.6302831 ],"[  1.2538864   -0.03192145  -0.04114511   0.0225653   -0.19151429
  -0.01886414  -0.01724935  -0.02878834  -0.16687926   0.24250165
  -1.5417158   -1.60728665   0.87867564 -10.          -3.56249654
   4.14491438 -10.        ]",0.7030537496861844,False,"{'x_position': -0.005433554825431176, 'x_velocity': -0.29434135805993983}"
2,[ 0.77044785 -0.7157062  -0.9909842  -0.09797177  0.9203308   0.13615754],"[ 1.25634389e+00 -2.68312680e-02 -2.30391205e-02  9.25774932e-03
 -3.48467093e-01 -3.03136746e-02  2.42065141e-02 -1.22989209e-01
 -2.38255245e-02  3.81041209e-01  3.15192152e+00  6.75982084e+00
 -4.76641692e+00 -1.00000000e+01  2.16633209e+00  4.06252107e+00
 -1.00000000e+01]",0.9326889419617885,False,"{'x_position': -0.005948339119509817, 'x_velocity': -0.0643480367598302}"
3,[-0.74638075 -0.6313731  -0.68048894  0.02064077  0.40671998 -0.8239897 ],"[  1.26026898  -0.01341385   0.01734838  -0.02714143  -0.41358256
  -0.01881396   0.04568379  -0.2605777   -0.55523104   0.60116622
   0.15309115   3.26836028  -4.27089111  -5.14153786   0.57416375
   1.57363502 -10.        ]",0.7077776731278991,False,"{'x_position': -0.00826800903468804, 'x_velocity': -0.2899587393972779}"
4,[-0.2323209   0.15418747  0.5744214   0.10226345 -0.70448875  0.22290055],"[  1.26403776  -0.01904076   0.03383545  -0.05968682  -0.41636929
  -0.01200877   0.03785516  -0.39911443  -0.80318401   0.33875689
  -1.40874796   1.08739939  -3.98688236   4.47652942   1.31012533
  -3.60606726 -10.        ]",0.31547949610395615,False,"{'x_position': -0.013736459837153846, 'x_velocity': -0.6835563503082257}"
5,[ 0.33873117  0.7380193   0.6644791  -0.2196922   0.2624041   0.9122496 ],"[ 1.26520526e+00 -3.23522356e-02  3.34161376e-02 -8.22025279e-02
 -3.39183296e-01 -6.50448274e-03  6.91652301e-03 -4.14954534e-01
 -5.66717476e-01 -4.50706916e-02 -1.91708884e+00 -1.20333305e+00
 -1.56398104e+00  1.00000000e+01  5.43078635e-02 -4.12084633e+00
  6.03376673e+00]",0.31226856747170906,False,"{'x_position': -0.019221909188234056, 'x_velocity': -0.6856811688850262}"
6,[ 0.5886162  -0.85854346  0.3957334   0.10981207 -0.4586726   0.21578959],"[ 1.26373399e+00 -5.39958870e-02  2.69684820e-02 -1.15640820e-01
 -1.87181855e-01 -3.53732254e-03 -4.47847165e-02 -3.42189304e-01
 -1.03028141e+00 -3.35110422e-01 -3.52825642e+00 -4.83902889e-01
 -6.66592209e+00  1.00000000e+01  6.29099324e-01 -8.75194203e+00
  1.00000000e+01]",0.1998365926253732,False,"{'x_position': -0.02561114304577996, 'x_velocity': -0.798654232193238}"
7,[ 0.38216433 -0.66307956 -0.7328087  -0.34163097  0.37179023 -0.46952403],"[ 1.26149714 -0.08663229  0.02313746 -0.17647505 -0.04983413 -0.01283425
 -0.09341584 -0.27419516 -1.15060616 -0.22251065 -4.63933349 -0.46261045
 -8.67987295 10.         -2.94076246 -3.49748581  5.38001905]",-0.09104551512568616,False,"{'x_position': -0.03432672216598436, 'x_velocity': -1.0894473900255504}"
8,[ 0.30091697 -0.0729086  -0.78129214 -0.11720768  0.5165416   0.13683031],"[ 1.25985967 -0.12285911  0.01932756 -0.24241058 -0.00957997 -0.04289105
 -0.10693308 -0.23215044 -1.0172622  -0.18604212 -4.42603972 -0.47371407
 -7.86542659 -1.19761622 -4.58313246  0.14597811  5.13678679]",-0.08367808822456413,False,"{'x_position': -0.042988102396225455, 'x_velocity': -1.0826725287801366}"
9,[-0.5309578  -0.4293764   0.7945021   0.37505308 -0.7153426  -0.3112239 ],"[  1.25708805  -0.16140516   0.01591315  -0.31417341   0.02775254
  -0.07096732  -0.12814003  -0.1979356   -1.33140607  -0.5140449
  -5.18429716  -0.38366825 -10.          10.          -2.40797261
  -5.45715659   3.3832348 ]",-0.17909344237934796,False,"{'x_position': -0.05240607590362114, 'x_velocity': -1.1772466884244606}"
10,[-0.2555745   0.6239871  -0.6090266   0.98886424 -0.64062685 -0.01311849],"[  1.25314292  -0.1943001    0.0135705   -0.37216135   0.06913325
  -0.06513021  -0.20255486  -0.16786408  -1.27670442  -0.47715731
  -3.08693787  -0.21337135  -4.60042933   0.20893747   3.76567983
 -10.           3.82060688]",-0.3042029541798072,False,"{'x_position': -0.06282198738648587, 'x_velocity': -1.301988935358091}"
11,[ 0.26717028 -0.33410573 -0.7278546  -0.4171801   0.8860155   0.15139113],"[ 1.24932847e+00 -2.25681142e-01  5.87385929e-03 -4.12698803e-01
  2.77074467e-02 -5.86664454e-02 -2.74620267e-01 -1.42463446e-01
 -1.21294038e+00 -4.65980757e-01 -4.75709720e+00 -1.72158294e+00
 -5.45312401e+00 -1.00000000e+01 -2.11935388e+00 -5.05367236e+00
  2.80775598e+00]",-0.24573157342195312,False,"{'x_position': -0.07277428188651255, 'x_velocity': -1.2440368125033359}"
12,[ 0.21379156  0.8504004  -0.66394055 -0.00428239 -0.8897082   0.6144744 ],"[ 1.24517840e+00 -2.57389940e-01 -5.55541608e-03 -4.40672604e-01
 -9.74618240e-02 -5.66270877e-02 -3.41875036e-01 -8.13476872e-02
 -1.17859477e+00 -5.75010622e-01 -3.17912910e+00 -1.12544132e+00
 -1.52890520e+00 -1.00000000e+01  2.54576529e+00 -1.00000000e+01
  1.00000000e+01]",-0.1991109992814386,False,"{'x_position': -0.08234813882149893, 'x_velocity': -1.1967321168732965}"
